date	total
2017-7	190
2017-8	162
2017-9	201
2017-10	189
2017-11	224
2017-12	117
2018-1	167
2018-2	220
2018-3	191
2018-4	202
2018-5	199
2018-6	211
2018-7	174
2018-8	161
2018-9	199
2018-10	240
2018-11	201
2018-12	115
2019-1	173
2019-2	151
2019-3	249
2019-4	275
2019-5	323
2019-6	265
2019-7	225
2019-8	219
2019-9	265
2019-10	407
2019-11	118
2019-12	132
2020-1	214
2020-2	184
2020-3	410
2020-4	330
2020-5	336
2020-6	288
2020-7	183
2020-8	184
2020-9	231
2020-10	265
2020-11	248
2020-12	207
2021-1	210
2021-2	216
2021-3	218
2021-4	289
2021-5	226
2021-6	267
2021-7	209
2021-8	285
